a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
ags-hyprpanel-git r606.d489592-1
aha 0.5.1-3
alsa-card-profiles 1:1.4.6-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
aom 3.12.1-1
appmenu-glib-translator-git 25.04.r2.gf05d28d-1
appstream 1.0.5-2
appstream-qt 1.0.5-2
aquamarine 0.9.2-1
archlinux-appstream-data 20250529-1
archlinux-keyring 20250716-1
ark 25.04.3-1
aspell 0.60.8.1-2
aspell-es 1.11-10
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
attica 6.16.0-1
attr 2.5.2-1
audit 4.0.5-1
aurorae 6.4.3-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-2
automake 1.18.1-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 2.3.0.r68.g2eb3ea5-1
b43-fwcutter 019-6
baloo 6.16.0-1
baloo-widgets 25.04.3-1
base 3-2
base-devel 1-2
bash 5.3.0-1
bash-completion 2.16.0-1
bcg729 1.1.1-2
bind 9.20.11-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.4.3-1
blueprint-compiler 0.18.0-1
bluetui 0.6-1
bluetuith 0.2.3-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-obex 5.83-1
bluez-qt 6.16.0-1
bluez-utils 5.83-1
breeze 6.4.3-1
breeze-gtk 6.4.3-1
breeze-icons 6.16.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.4-1
